VersionIndex,VersionName,MethodFQN,LOC,NumParameters,NumBranches,NestingDepth,NumCodeSmells,NumLocalVariables,NumRevisions,NumAuthors,TotalStmtAdded,TotalStmtDeleted,MaxChurn,AvgChurn,HasFixHistory,Buggy,BodyHash
1,4.0.0,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/EntryLogger#readEntry(long,long,long)",39,3,6,1,2,11,0,0,0,0,0,0.0,0,no,036b088447fe52d744502d5e0a703bdcaeab318c630a8b732cd86883ad615e87
1,4.0.0,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/EntryLogger#setLastLogId(File,long)",14,2,1,2,2,2,0,0,0,0,0,0.0,0,no,908240b998f9ad09bbbdc10393425768dccc46151b6ab52c9de4b48a0a89cbdf
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/EntryLogger#shutdown(),10,0,1,1,0,0,2,1,6,1,5,3.5,0,no,5f2002e3017aa4f399cff1560d368d9431d0014d59136aed945a40c90a65f3b6
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/EntryLogger#testAndClearSomethingWritten(),7,0,0,1,0,0,0,0,0,0,0,0.0,0,no,e9e41845f31b22d4dabf5929d8575f0526910666ea74c7c22043e498f9c4ad15
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/EntryLogger$GarbageCollectorThread#<init>(),3,0,0,0,0,0,0,0,0,0,0,0.0,0,no,4808e424d4d9dd5513db76953e9608cf68f3186c2b61769822cc717391b39d8f
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/EntryLogger$GarbageCollectorThread#doGcEntryLogs(),30,0,7,4,2,5,1,1,30,0,30,30.0,0,no,30693bcbd42fc9fee032292f5aef0652846b38bd3997fba81ae5ee8d896190d0
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/EntryLogger$GarbageCollectorThread#doGcLedgers(),12,0,1,1,0,0,1,1,12,0,12,12.0,0,no,49b8839494b33b6bb810d01cbe4e948919b97d41fa414e2f0c590e5f354db9a7
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/EntryLogger$GarbageCollectorThread#run(),17,0,3,2,0,0,4,2,9,75,73,21.0,0,no,8d845447cad0529179496ecb228eb59338c3306d3e921e68745578d015db9f2a
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/EntryLogger$GarbageCollectorThread$<anon:LedgerManager.GarbageCollector@arg0>#gc(long),7,1,1,1,0,0,1,1,7,0,7,7.0,0,no,77620f5aa63191baf6627ffada43b2c3510f1889bbe29ea2f41ddeeffe605416
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java/FileInfo#<init>(File),12,1,1,1,0,1,1,1,4,0,4,4.0,0,no,8b7fd9096964b7ec7ef5bc17c7cd7280c9552406eb3dd6a79113eb070d1db6aa
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java/FileInfo#close(),6,0,1,1,0,0,0,0,0,0,0,0.0,0,yes,52ac8a0add85be0d97ec9c5098aa646b8a893c55675acacdce8a09ec6722ff6b
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java/FileInfo#getFile(),3,0,0,0,0,0,0,0,0,0,0,0.0,0,no,6f99bad09868abab6990a4ae6c212bb4054ae3aa3f179cfcdb4866e9d49ae737
1,4.0.0,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java/FileInfo#read(ByteBuffer,long)",3,2,0,0,0,0,1,1,0,8,8,8.0,0,no,bfa4a21fabc33c0bb61ff733f57013a7f5ee7e1c39fafb9744d74075c1a0ac71
