Key,CreationDate,ResolutionDate,OpeningVersionIndex,OpeningVersionName,FixedVersionIndex,FixedVersionName,InjectedVersionIndex,InjectedVersionName,AffectedVersionIndices,AffectedVersionNames,NumAssociatedCommits
STORM-3168,2018-08-01,2018-08-03,26,2.0.0,26,2.0.0,26,2.0.0,26,2.0.0,3
STORM-3167,2018-08-01,2018-08-03,26,2.0.0,26,2.0.0,26,2.0.0,26,2.0.0,2
STORM-3166,2018-08-01,2018-08-03,26,2.0.0,26,2.0.0,26,2.0.0,26,2.0.0,2
STORM-3182,2018-08-06,2018-08-10,26,2.0.0,26,2.0.0,26,2.0.0,26,2.0.0,3
STORM-3181,2018-08-06,2018-08-10,26,2.0.0,26,2.0.0,26,2.0.0,26,2.0.0,3
STORM-3180,2018-08-06,2018-08-10,26,2.0.0,26,2.0.0,26,2.0.0,26,2.0.0,3
STORM-3179,2018-08-06,2018-08-10,26,2.0.0,26,2.0.0,26,2.0.0,26,2.0.0,3
STORM-3183,2018-08-06,2018-08-11,26,2.0.0,26,2.0.0,26,2.0.0,26,2.0.0,3
STORM-3184,2018-08-07,2018-08-14,26,2.0.0,26,2.0.0,18,1.1.1,18,1.1.1,6
STORM-3194,2018-08-14,2018-08-16,26,2.0.0,26,2.0.0,26,2.0.0,26,2.0.0,2
STORM-3201,2018-08-22,2018-08-23,26,2.0.0,26,2.0.0,26,2.0.0,,,4
STORM-3200,2018-08-21,2018-08-23,26,2.0.0,26,2.0.0,26,2.0.0,,,2
STORM-3207,2018-08-28,2018-08-30,26,2.0.0,26,2.0.0,26,2.0.0,,,2
STORM-3208,2018-08-29,2018-09-04,26,2.0.0,26,2.0.0,26,2.0.0,26,2.0.0,5
STORM-3203,2018-08-23,2018-09-04,26,2.0.0,26,2.0.0,26,2.0.0,26,2.0.0,5
STORM-3210,2018-09-04,2018-09-06,26,2.0.0,26,2.0.0,26,2.0.0,,,3
STORM-3215,2018-09-06,2018-09-07,26,2.0.0,26,2.0.0,26,2.0.0,26,2.0.0,5
STORM-3213,2018-09-05,2018-09-07,26,2.0.0,26,2.0.0,26,2.0.0,,,4
STORM-3216,2018-09-07,2018-09-10,26,2.0.0,26,2.0.0,26,2.0.0,,,4
STORM-3206,2018-08-28,2018-09-12,26,2.0.0,26,2.0.0,26,2.0.0,,,4
STORM-3221,2018-09-12,2018-09-13,26,2.0.0,26,2.0.0,26,2.0.0,26,2.0.0,4
STORM-3220,2018-09-11,2018-09-13,26,2.0.0,26,2.0.0,26,2.0.0,,,2
STORM-3219,2018-09-11,2018-09-13,26,2.0.0,26,2.0.0,26,2.0.0,26,2.0.0,4
STORM-3218,2018-09-11,2018-09-13,26,2.0.0,26,2.0.0,26,2.0.0,26,2.0.0,4
